fragment_id,particle_size_um,Cd_total_mg_kg,mean_CMI,background_mean_CMI,median_CMI,background_median_CMI,log2FC_CMI,p_value,n_group_sample,n_background_sample,P_mobilization_or_higher,P_aging_amplified,rank,q_value_raw,q_value,minus_log10_q,volcano_class,point_label
PET_COOH,100,1.0,0.05715835334269354,0.02840911909633411,0.0432913853693627,0.012968755030195199,1.0086102318820336,7.71308778668573e-141,2500,2500,0.1728,0.0068,63,2.0568234097828615e-140,1.9633329729884853e-140,139.70700603964178,enriched mobilization risk,PET_COOH | 100 µm | Cd 1.0
PET_COOH,100,2.0,0.07889395152090817,0.039212250417714194,0.0597537937827952,0.0179003814981235,1.0086102389190927,7.713088615123802e-141,2500,2500,0.2984,0.0356,64,2.024685761469998e-140,1.9633329729884853e-140,139.70700603964178,enriched mobilization risk,PET_COOH | 100 µm | Cd 2.0
PET_COOH,100,5.0,0.10762684941187267,0.05349321322420417,0.0815159139740217,0.024419637079568048,1.0086102438594473,7.713093349060931e-141,2500,2500,0.4144,0.0908,65,1.9935379732957484e-140,1.9633329729884853e-140,139.70700603964178,enriched mobilization risk,PET_COOH | 100 µm | Cd 5.0
PET_COOH,100,10.0,0.12936244759008728,0.06429634454558425,0.0979783223874542,0.02935126354749635,1.0086102461386643,7.713093822454763e-141,2500,2500,0.4888,0.1408,66,1.9633329729884853e-140,1.9633329729884853e-140,139.70700603964178,enriched mobilization risk,PET_COOH | 100 µm | Cd 10.0
PET_COOH,50,0.3,0.019769460218199097,0.01000221031128864,0.0149732676118064,0.0048203675535916,0.9829545639787793,1.5708210773523554e-132,2500,2500,0.0012,0.0,67,3.9387752387342646e-132,3.66525494424552e-132,131.43589581173822,not strongly differentiated,PET_COOH | 50 µm | Cd 0.3
PET_COOH,50,0.6,0.04191401357753647,0.021206081206344537,0.0317454161648584,0.010219851673237,0.9829546016286641,1.5708214399475958e-132,2500,2500,0.0872,0.0,68,3.8808529692822954e-132,3.66525494424552e-132,131.43589581173822,not strongly differentiated,PET_COOH | 50 µm | Cd 0.6
PET_COOH,50,1.0,0.05823378750154579,0.02946294857748087,0.0441059125887022,0.01419908569566245,0.9829546110482251,1.5708214626096892e-132,2500,2500,0.1788,0.0072,69,3.824608778527939e-132,3.66525494424552e-132,131.43589581173822,not strongly differentiated,PET_COOH | 50 µm | Cd 1.0
PET_COOH,50,2.0,0.08037834086088316,0.04066681947253677,0.0608780611417541,0.019598569815307852,0.9829546177132791,1.5708222557870125e-132,2500,2500,0.304,0.0408,70,3.76997341388883e-132,3.66525494424552e-132,131.43589581173822,not strongly differentiated,PET_COOH | 50 µm | Cd 2.0
PET_COOH,50,5.0,0.10965184809532356,0.05547753118020198,0.0830496355256579,0.0267362995709653,0.9829546223924681,1.570822799680133e-132,2500,2500,0.4252,0.0964,71,3.7168764837501736e-132,3.66525494424552e-132,131.43589581173822,not strongly differentiated,PET_COOH | 50 µm | Cd 5.0
PET_COOH,50,10.0,0.13179640145466093,0.06668140207525787,0.0998217840787098,0.0321357836906107,0.9829546245511978,1.570823547533794e-132,2500,2500,0.4984,0.1456,72,3.66525494424552e-132,3.66525494424552e-132,131.43589581173822,not strongly differentiated,PET_COOH | 50 µm | Cd 10.0
