fragment_id,pH,organic_matter_percent,particle_size_um,Cd_total_mg_kg,mean_CMI,background_mean_CMI,median_CMI,background_median_CMI,log2FC_CMI,p_value,P_mobilization_or_higher,P_aging_amplified,n_group,n_background,rank,q_value_raw,q_value,minus_log10_q_raw,minus_log10_q_capped,log2FC_plot,minus_log10_q_plot,volcano_class,label
PE_F,8.0,4.0,500,10.0,0.00033755981340330513,0.008273490981147897,0.0003070295527201,0.00714506229145355,-4.615277034213021,1.0541925777405304e-99,0.0,0.0,300,300,1,8.501008946899637e-96,7.073599654535386e-99,98.15035952364853,8.0,-4.635105096091968,7.985713643495067,reduced mobilization risk,PE_F | pH 8.0 | OM 4.0% | 500 µm | Cd 10.0
PE_F,7.0,2.0,500,0.3,0.00040331505841196863,0.009897166171237854,0.000370846368479,0.008823941959783851,-4.617032892854024,1.0541925777405304e-99,0.0,0.0,300,300,50,1.7002017893799274e-97,7.073599654535386e-99,98.15035952364853,8.0,-4.538260189515527,8.0,reduced mobilization risk,PE_F | pH 7.0 | OM 2.0% | 500 µm | Cd 0.3
PE_F,7.0,2.0,500,0.6,0.0008550841878193307,0.020983372975379493,0.0007862460356557,0.018707987928234047,-4.617034705731627,1.0541925777405304e-99,0.0,0.0,300,300,51,1.6668644993920856e-97,7.073599654535386e-99,98.15035952364853,8.0,-4.576574377725124,8.0,reduced mobilization risk,PE_F | pH 7.0 | OM 2.0% | 500 µm | Cd 0.6
PE_F,6.5,0.5,250,0.3,0.0011177539057558134,0.017550728746726866,0.0010284433622013,0.015660815289433798,-3.972855235095041,1.0541925777405304e-99,0.0,0.0,300,300,52,1.6348094128653149e-97,7.073599654535386e-99,98.15035952364853,8.0,-3.9521775718061596,8.0,reduced mobilization risk,PE_F | pH 6.5 | OM 0.5% | 250 µm | Cd 0.3
PE_F,6.5,1.0,100,0.3,0.0016007714539889595,0.017324893705506147,0.0014728079628016,0.0154480124534541,-3.436006432346735,1.0541925777405304e-99,0.0,0.0,300,300,53,1.6039639522452145e-97,7.073599654535386e-99,98.15035952364853,8.0,-3.452601981218993,8.0,reduced mobilization risk,PE_F | pH 6.5 | OM 1.0% | 100 µm | Cd 0.3
PE_F,6.5,1.0,1000,0.3,0.0002667952423314529,0.01600515224449868,0.0002454679938002,0.01436266702669565,-5.906654332940411,1.0541925777405304e-99,0.0,0.0,300,300,54,1.5742609160925253e-97,7.073599654535386e-99,98.15035952364853,8.0,-5.881792192244905,7.963378430287267,reduced mobilization risk,PE_F | pH 6.5 | OM 1.0% | 1000 µm | Cd 0.3
PE_F,6.5,1.0,1000,1.0,0.000785883745781417,0.047145477137409166,0.000723061268827,0.04230730077385215,-5.906657845130527,1.0541925777405304e-99,0.0,0.0,300,300,55,1.5456379903453884e-97,7.073599654535386e-99,98.15035952364853,8.0,-5.917725148858115,7.970510075213633,reduced mobilization risk,PE_F | pH 6.5 | OM 1.0% | 1000 µm | Cd 1.0
PE_F,7.0,1.0,500,0.6,0.0009395371013365143,0.02305617042373806,0.0008640206209779,0.02056787902006455,-4.617057488122273,1.0541925777405304e-99,0.0,0.0,300,300,56,1.5180373119463638e-97,7.073599654535386e-99,98.15035952364853,8.0,-4.617598757867021,8.0,reduced mobilization risk,PE_F | pH 7.0 | OM 1.0% | 500 µm | Cd 0.6
PE_F,7.0,1.0,1000,0.3,0.00017689508452848533,0.010611439574358054,0.000162676918841,0.0095103250941163,-5.906574599535711,1.0541925777405304e-99,0.0,0.0,300,300,57,1.491405078403445e-97,7.073599654535386e-99,98.15035952364853,8.0,-5.9138354289704544,8.0,reduced mobilization risk,PE_F | pH 7.0 | OM 1.0% | 1000 µm | Cd 0.3
PE_F,8.0,2.0,500,1.0,0.00019021716383636525,0.004663567550012429,0.0001734799547978,0.0040610890418530995,-4.615707403688382,1.0541925777405304e-99,0.0,0.0,300,300,58,1.4656911977413167e-97,7.073599654535386e-99,98.15035952364853,8.0,-4.608611654776106,8.0,reduced mobilization risk,PE_F | pH 8.0 | OM 2.0% | 500 µm | Cd 1.0
PE_F,8.0,2.0,500,2.0,0.0002625510152851484,0.006436981660392665,0.0002394491503562,0.0056053987431918,-4.615709408000302,1.0541925777405304e-99,0.0,0.0,300,300,59,1.4408489740507858e-97,7.073599654535386e-99,98.15035952364853,8.0,-4.583507465114217,8.0,reduced mobilization risk,PE_F | pH 8.0 | OM 2.0% | 500 µm | Cd 2.0
PE_F,6.5,2.0,250,0.6,0.002065607469302803,0.0324332365419947,0.0019003109954232,0.028932825552568098,-3.9728343171545353,1.0541925777405304e-99,0.0,0.0,300,300,60,1.4168348244832729e-97,7.073599654535386e-99,98.15035952364853,8.0,-3.986723918601198,8.0,reduced mobilization risk,PE_F | pH 6.5 | OM 2.0% | 250 µm | Cd 0.6
PE_F,6.5,1.0,250,0.3,0.0010699289487536789,0.016799715777067993,0.0009844002848937,0.0149894306004056,-3.972848663480843,1.0541925777405304e-99,0.0,0.0,300,300,61,1.3936080240819077e-97,7.073599654535386e-99,98.15035952364853,8.0,-3.9974837593216,8.0,reduced mobilization risk,PE_F | pH 6.5 | OM 1.0% | 250 µm | Cd 0.3
PE_F,6.5,1.0,500,0.3,0.0006683620955425616,0.016402434010783333,0.0006149341393469,0.0146629157642317,-4.617134119203644,1.0541925777405304e-99,0.0,0.0,300,300,62,1.371130475306393e-97,7.073599654535386e-99,98.15035952364853,8.0,-4.642208032997381,8.0,reduced mobilization risk,PE_F | pH 6.5 | OM 1.0% | 500 µm | Cd 0.3
PE_F,6.5,1.0,500,1.0,0.001968756648706356,0.04831572770068765,0.0018113769219259,0.0431917265996613,-4.617135486863778,1.0541925777405304e-99,0.0,0.0,300,300,63,1.349366499507879e-97,7.073599654535386e-99,98.15035952364853,8.0,-4.641342420044225,7.985924176327121,reduced mobilization risk,PE_F | pH 6.5 | OM 1.0% | 500 µm | Cd 1.0
PE_F,6.5,2.0,100,0.3,0.0014576650803434057,0.015775912255515574,0.0013410180883767,0.01406417701356895,-3.4359913516250744,1.0541925777405304e-99,0.0,0.0,300,300,64,1.3282826479530682e-97,7.073599654535386e-99,98.15035952364853,8.0,-3.4717689262199833,8.0,reduced mobilization risk,PE_F | pH 6.5 | OM 2.0% | 100 µm | Cd 0.3
PE_F,7.0,4.0,100,0.3,0.000775157759879993,0.008388462263252836,0.0007124817641964,0.0074513754213976,-3.4358428148360365,1.0541925777405304e-99,0.0,0.0,300,300,65,1.3078475302922517e-97,7.073599654535386e-99,98.15035952364853,8.0,-3.4586661667095195,7.962028460731538,reduced mobilization risk,PE_F | pH 7.0 | OM 4.0% | 100 µm | Cd 0.3
PE_F,7.0,2.0,100,0.3,0.0009659662580740639,0.010453770863240265,0.0008882015967629,0.0093011758124511,-3.435905480983699,1.0541925777405304e-99,0.0,0.0,300,300,66,1.288031658621157e-97,7.073599654535386e-99,98.15035952364853,8.0,-3.4035738405708376,8.0,reduced mobilization risk,PE_F | pH 7.0 | OM 2.0% | 100 µm | Cd 0.3
PE_F,7.0,2.0,100,1.0,0.002845392498605836,0.030793085108078943,0.0026163255078059,0.0273979506672711,-3.4359063763239144,1.0541925777405304e-99,0.0,0.0,300,300,67,1.2688073055074086e-97,7.073599654535386e-99,98.15035952364853,8.0,-3.4507391755298893,8.0,reduced mobilization risk,PE_F | pH 7.0 | OM 2.0% | 100 µm | Cd 1.0
PE_F,7.0,2.0,100,2.0,0.003927409463618865,0.04250276681573656,0.0036112352036842,0.0378165651266478,-3.4359065031045235,1.0541925777405304e-99,0.0,0.0,300,300,68,1.2501483745440642e-97,7.073599654535386e-99,98.15035952364853,8.0,-3.429478811657364,8.0,reduced mobilization risk,PE_F | pH 7.0 | OM 2.0% | 100 µm | Cd 2.0
