fragment_condition,particle_size_class,MRI_class,Msoil_class,Cd_loading_class,CMI_regime,count,CMI_mean,CMI_max,fraction
PET_COOH | oxidized,small MP,very high MRI,low-to-moderate soil mobilization potential,moderate Cd loading,conditional retention,6631,0.08577079917939966,0.0999930003157866,0.0020557415674603173
PET_COOH | oxidized,small MP,very high MRI,low-to-moderate soil mobilization potential,moderate Cd loading,mobilization regime,15509,0.127526294721647,0.1813169609852027,0.004808097718253968
PET_COOH | oxidized,small MP,very high MRI,moderate soil mobilization potential,high Cd loading,aging-amplified mobilization,9574,0.33014339276768323,0.4674359227061208,0.0029681299603174604
PET_COOH | oxidized,small MP,very high MRI,moderate soil mobilization potential,high Cd loading,mobilization regime,446,0.2452565502297539,0.2499304884447958,0.00013826884920634921
PET_COOH | oxidized,small MP,very high MRI,moderate soil mobilization potential,low Cd loading,conditional retention,6130,0.061513253208132335,0.0999921107149552,0.001900421626984127
PET_COOH | oxidized,small MP,very high MRI,moderate soil mobilization potential,low Cd loading,mobilization regime,3890,0.11843264418965138,0.1486544047841283,0.0012059771825396826
PET_COOH | oxidized,small MP,very high MRI,moderate soil mobilization potential,moderate Cd loading,aging-amplified mobilization,861,0.26276561570605583,0.2850739740327357,0.0002669270833333333
PET_COOH | oxidized,small MP,very high MRI,moderate soil mobilization potential,moderate Cd loading,mobilization regime,9159,0.18027200440865954,0.2499940627117719,0.0028394717261904763
PET_COOH | oxidized,small MP,very high MRI,very high soil mobilization potential,high Cd loading,aging-amplified mobilization,390,0.6202646119602154,0.8499736068117154,0.0001209077380952381
PET_COOH | oxidized,small MP,very high MRI,very high soil mobilization potential,low Cd loading,aging-amplified mobilization,8,0.2575342965289171,0.270309393149171,2.48015873015873e-06
PET_COOH | oxidized,small MP,very high MRI,very high soil mobilization potential,low Cd loading,conditional retention,96,0.09621988258975542,0.0997176259083541,2.9761904761904762e-05
PET_COOH | oxidized,small MP,very high MRI,very high soil mobilization potential,low Cd loading,mobilization regime,286,0.1783644868457899,0.2499685707814626,8.86656746031746e-05
PET_COOH | oxidized,small MP,very high MRI,very high soil mobilization potential,moderate Cd loading,aging-amplified mobilization,390,0.35608540617687456,0.5183712721820317,0.0001209077380952381
PET_F | fresh,large MP,moderate MRI,high soil mobilization potential,high Cd loading,aging-amplified mobilization,1618,0.30995908240757897,0.4060263220953364,0.0005016121031746032
PET_F | fresh,large MP,moderate MRI,high soil mobilization potential,high Cd loading,mobilization regime,102,0.2473224716202153,0.2499555093139397,3.162202380952381e-05
PET_F | fresh,large MP,moderate MRI,high soil mobilization potential,low Cd loading,conditional retention,1143,0.06123267672092174,0.0998451989605101,0.0003543526785714286
PET_F | fresh,large MP,moderate MRI,high soil mobilization potential,low Cd loading,mobilization regime,577,0.11093930338568003,0.1291248667589421,0.00017888144841269842
PET_F | fresh,large MP,moderate MRI,high soil mobilization potential,moderate Cd loading,mobilization regime,1720,0.17610279491153286,0.2476222548997034,0.0005332341269841269
PET_F | fresh,large MP,moderate MRI,low soil mobilization potential,high Cd loading,conditional retention,29261,0.06327579895526769,0.0999679163206645,0.009071490575396825
PET_F | fresh,large MP,moderate MRI,low soil mobilization potential,high Cd loading,immobilization-dominant regime,23101,0.015613717657531175,0.0299988687044982,0.007161768353174603
PET_F | fresh,large MP,moderate MRI,low soil mobilization potential,high Cd loading,mobilization regime,1018,0.10377827550035393,0.1083293180749651,0.0003156001984126984
PET_F | fresh,large MP,moderate MRI,low soil mobilization potential,low Cd loading,conditional retention,1936,0.03208438331335211,0.0344509900006741,0.0006001984126984127
PET_F | fresh,large MP,moderate MRI,low soil mobilization potential,low Cd loading,immobilization-dominant regime,51444,0.009124797246273426,0.0299939196353511,0.015948660714285714
PET_F | fresh,large MP,moderate MRI,low soil mobilization potential,moderate Cd loading,conditional retention,17604,0.04400438689561004,0.0660665295664538,0.005457589285714286
PET_F | fresh,large MP,moderate MRI,low soil mobilization potential,moderate Cd loading,immobilization-dominant regime,35776,0.013722145005604537,0.029998398256083,0.011091269841269841
PET_F | fresh,large MP,moderate MRI,low-to-moderate soil mobilization potential,high Cd loading,conditional retention,1757,0.09461631377337626,0.0999751909255085,0.0005447048611111111
PET_F | fresh,large MP,moderate MRI,low-to-moderate soil mobilization potential,high Cd loading,mobilization regime,13003,0.13554225964370467,0.189483285286446,0.004031187996031746
PET_F | fresh,large MP,moderate MRI,low-to-moderate soil mobilization potential,low Cd loading,conditional retention,7380,0.045654829989008036,0.0602596497670267,0.0022879464285714287
PET_F | fresh,large MP,moderate MRI,low-to-moderate soil mobilization potential,low Cd loading,immobilization-dominant regime,7380,0.021533880156016948,0.0284224927929669,0.0022879464285714287
PET_F | fresh,large MP,moderate MRI,low-to-moderate soil mobilization potential,moderate Cd loading,conditional retention,13293,0.07132966299451982,0.0999972788494237,0.00412109375
PET_F | fresh,large MP,moderate MRI,low-to-moderate soil mobilization potential,moderate Cd loading,mobilization regime,1467,0.10715100681455407,0.1155596960470373,0.0004547991071428571
PET_F | fresh,large MP,moderate MRI,moderate soil mobilization potential,high Cd loading,aging-amplified mobilization,894,0.27050349528868145,0.297913404547929,0.0002771577380952381
PET_F | fresh,large MP,moderate MRI,moderate soil mobilization potential,high Cd loading,mobilization regime,5786,0.20266688606246608,0.249981562424667,0.0017937748015873017
PET_F | fresh,large MP,moderate MRI,moderate soil mobilization potential,low Cd loading,conditional retention,6017,0.05674578413506005,0.0947426966543359,0.001865389384920635
PET_F | fresh,large MP,moderate MRI,moderate soil mobilization potential,low Cd loading,immobilization-dominant regime,663,0.029062013533219883,0.0299775192136076,0.00020554315476190477
PET_F | fresh,large MP,moderate MRI,moderate soil mobilization potential,moderate Cd loading,conditional retention,1724,0.09097574743862004,0.0999469683008183,0.0005344742063492063
PET_F | fresh,large MP,moderate MRI,moderate soil mobilization potential,moderate Cd loading,mobilization regime,4956,0.1319986570644557,0.1816877009803426,0.0015364583333333333
PET_F | fresh,large MP,moderate MRI,very high soil mobilization potential,high Cd loading,aging-amplified mobilization,260,0.40039951577058164,0.5417181664498657,8.060515873015873e-05
PET_F | fresh,large MP,moderate MRI,very high soil mobilization potential,low Cd loading,conditional retention,130,0.06556835523277635,0.0812577249674798,4.0302579365079364e-05
PET_F | fresh,large MP,moderate MRI,very high soil mobilization potential,low Cd loading,mobilization regime,130,0.13901406012863163,0.1722777126930037,4.0302579365079364e-05
PET_F | fresh,large MP,moderate MRI,very high soil mobilization potential,moderate Cd loading,aging-amplified mobilization,106,0.27111088857863314,0.330376299753669,3.286210317460318e-05
PET_F | fresh,large MP,moderate MRI,very high soil mobilization potential,moderate Cd loading,mobilization regime,154,0.2011115562617482,0.2499866561812453,4.774305555555556e-05
PET_F | fresh,medium MP,high MRI,high soil mobilization potential,high Cd loading,aging-amplified mobilization,1720,0.32414042876409954,0.4322207750131139,0.0005332341269841269
PET_F | fresh,medium MP,high MRI,high soil mobilization potential,low Cd loading,conditional retention,915,0.05571020842555645,0.0997327896888797,0.0002836681547619048
PET_F | fresh,medium MP,high MRI,high soil mobilization potential,low Cd loading,mobilization regime,805,0.11342020360261343,0.1374552509206793,0.0002495659722222222
PET_F | fresh,medium MP,high MRI,high soil mobilization potential,moderate Cd loading,aging-amplified mobilization,49,0.2545164983054883,0.2635974002151374,1.5190972222222222e-05
PET_F | fresh,medium MP,high MRI,high soil mobilization potential,moderate Cd loading,mobilization regime,1671,0.18408084785019252,0.2499957619049704,0.0005180431547619047
PET_F | fresh,medium MP,high MRI,low soil mobilization potential,high Cd loading,conditional retention,29370,0.06328117564385215,0.0999320417352312,0.009105282738095239
